Epoch,E2W_COR_FLUX
2019-02-05 15:48:00,397.45422
2019-02-05 15:49:00,386.7204
2019-02-05 15:50:00,407.60422
2019-02-05 15:51:00,404.00928
2019-02-05 15:52:00,378.38483
2019-02-05 15:53:00,385.22375
2019-02-05 15:54:00,377.24994
2019-02-05 15:55:00,401.99677
2019-02-05 15:56:00,398.2313
2019-02-05 15:57:00,379.01547
2019-02-05 15:58:00,405.41113
2019-02-05 15:59:00,401.2224
2019-02-05 16:00:00,405.20828
2019-02-05 16:01:00,408.60193
2019-02-05 16:02:00,409.91003
2019-02-05 16:03:00,406.7711
2019-02-05 16:04:00,406.33716
2019-02-05 16:05:00,412.43307
2019-02-05 16:06:00,424.73215
2019-02-05 16:07:00,406.3363
2019-02-05 16:08:00,455.49585
2019-02-05 16:09:00,472.1821
2019-02-05 16:10:00,442.46182
2019-02-05 16:11:00,444.00507
2019-02-05 16:12:00,428.94077
2019-02-05 16:13:00,432.96933
2019-02-05 16:14:00,438.81897
2019-02-05 16:15:00,431.60483
2019-02-05 16:16:00,433.44275
2019-02-05 16:17:00,420.15945
2019-02-05 16:18:00,464.6907
2019-02-05 16:19:00,439.9215
2019-02-05 16:20:00,463.94888
2019-02-05 16:21:00,437.42926
2019-02-05 16:22:00,429.45285
2019-02-05 16:23:00,469.4279
2019-02-05 16:24:00,445.64478
2019-02-05 16:25:00,476.82684
2019-02-05 16:26:00,499.0069
2019-02-05 16:27:00,451.81607
2019-02-05 16:28:00,471.3675
2019-02-05 16:29:00,490.25815
2019-02-05 16:30:00,513.58026
2019-02-05 16:31:00,507.01926
2019-02-05 16:32:00,542.97345
2019-02-05 16:33:00,523.132
2019-02-05 16:34:00,494.75916
2019-02-05 16:35:00,495.73877
2019-02-05 16:36:00,512.7353
2019-02-05 16:37:00,525.9707
2019-02-05 16:38:00,545.7432
2019-02-05 16:39:00,561.89154
2019-02-05 16:40:00,583.11224
2019-02-05 16:41:00,565.1736
2019-02-05 16:42:00,573.4741
2019-02-05 16:43:00,562.0446
2019-02-05 16:44:00,563.0123
2019-02-05 16:45:00,540.21466
2019-02-05 16:46:00,545.9741
2019-02-05 16:47:00,531.056
2019-02-05 16:48:00,540.44446
2019-02-05 16:49:00,533.95685
2019-02-05 16:50:00,519.6794
2019-02-05 16:51:00,530.56055
2019-02-05 16:52:00,548.90247
2019-02-05 16:53:00,551.5712
2019-02-05 16:54:00,557.3787
2019-02-05 16:55:00,567.1387
2019-02-05 16:56:00,568.10046
2019-02-05 16:57:00,590.349
2019-02-05 16:58:00,617.57025
2019-02-05 16:59:00,588.0792
2019-02-05 17:00:00,585.7634
2019-02-05 17:01:00,620.6216
2019-02-05 17:02:00,606.5359
2019-02-05 17:03:00,591.65674
2019-02-05 17:04:00,621.41254
2019-02-05 17:05:00,602.7129
2019-02-05 17:06:00,613.68146
2019-02-05 17:07:00,603.149
2019-02-05 17:08:00,617.9568
2019-02-05 17:09:00,633.7523
2019-02-05 17:10:00,595.3978
2019-02-05 17:11:00,590.46094
2019-02-05 17:12:00,622.8084
2019-02-05 17:13:00,638.0027
2019-02-05 17:14:00,630.88025
2019-02-05 17:15:00,634.04926
2019-02-05 17:16:00,661.55505
2019-02-05 17:17:00,666.4656
2019-02-05 17:18:00,638.154
2019-02-05 17:19:00,646.8708
2019-02-05 17:20:00,573.83545
2019-02-05 17:21:00,626.25854
2019-02-05 17:22:00,612.843
2019-02-05 17:23:00,619.55597
2019-02-05 17:24:00,625.59564
2019-02-05 17:25:00,628.38556
2019-02-05 17:26:00,611.1479
2019-02-05 17:27:00,625.82983
2019-02-05 17:28:00,640.4468
2019-02-05 17:29:00,608.44904
2019-02-05 17:30:00,689.14307
2019-02-05 17:31:00,678.3734
2019-02-05 17:32:00,642.5635
2019-02-05 17:33:00,685.09674
2019-02-05 17:34:00,660.05994
2019-02-05 17:35:00,661.4324
2019-02-05 17:36:00,710.7216
2019-02-05 17:37:00,693.96185
2019-02-05 17:38:00,680.7461
2019-02-05 17:39:00,714.0258
2019-02-05 17:40:00,712.0966
2019-02-05 17:41:00,752.50006
2019-02-05 17:42:00,732.90234
2019-02-05 17:43:00,716.4691
2019-02-05 17:44:00,719.1304
2019-02-05 17:45:00,692.71857
2019-02-05 17:46:00,755.1279
2019-02-05 17:47:00,722.3449
2019-02-05 17:48:00,708.6695
2019-02-05 17:49:00,740.7332
2019-02-05 17:50:00,792.78217
2019-02-05 17:51:00,785.7693
2019-02-05 17:52:00,781.4232
2019-02-05 17:53:00,721.5371
2019-02-05 17:54:00,753.6291
2019-02-05 17:55:00,711.97394
2019-02-05 17:56:00,726.66284
2019-02-05 17:57:00,737.2009
2019-02-05 17:58:00,710.9347
2019-02-05 17:59:00,755.65607
2019-02-05 18:00:00,771.96783
2019-02-05 18:01:00,768.88715
2019-02-05 18:02:00,759.57684
2019-02-05 18:03:00,745.4704
2019-02-05 18:04:00,752.9885
2019-02-05 18:05:00,720.05524
2019-02-05 18:06:00,770.1394
2019-02-05 18:07:00,756.1083
2019-02-05 18:08:00,754.2628
2019-02-05 18:09:00,789.23816
2019-02-05 18:10:00,756.9929
2019-02-05 18:11:00,780.3114
2019-02-05 18:12:00,756.51886
2019-02-05 18:13:00,808.4395
2019-02-05 18:14:00,780.63983
2019-02-05 18:15:00,762.05865
2019-02-05 18:16:00,736.2314
2019-02-05 18:17:00,780.226
2019-02-05 18:18:00,707.5513
2019-02-05 18:19:00,737.41583
2019-02-05 18:20:00,786.97174
2019-02-05 18:21:00,776.7663
2019-02-05 18:22:00,741.51697
2019-02-05 18:23:00,770.2788
2019-02-05 18:24:00,761.6001
2019-02-05 18:25:00,737.66986
2019-02-05 18:26:00,762.51025
2019-02-05 18:27:00,768.4446
2019-02-05 18:28:00,752.59283
2019-02-05 18:29:00,776.8335
2019-02-05 18:30:00,770.6744
2019-02-05 18:31:00,788.2835
2019-02-05 18:32:00,780.6249
2019-02-05 18:33:00,827.8081
2019-02-05 18:34:00,771.8522
2019-02-05 18:35:00,817.20355
2019-02-05 18:36:00,799.66656
2019-02-05 18:37:00,782.6884
2019-02-05 18:38:00,862.5624
2019-02-05 18:39:00,844.1121
2019-02-05 18:40:00,865.45154
2019-02-05 18:41:00,810.2257
2019-02-05 18:42:00,910.91473
2019-02-05 18:43:00,903.05475
2019-02-05 18:44:00,895.1378
2019-02-05 18:45:00,844.93335
2019-02-05 18:46:00,898.2546
2019-02-05 18:47:00,943.32275
2019-02-05 18:48:00,938.14575
2019-02-05 18:49:00,930.334
2019-02-05 18:50:00,998.426
2019-02-05 18:51:00,1054.7358
2019-02-05 18:52:00,1047.5309
2019-02-05 18:53:00,1042.6991
2019-02-05 18:54:00,1101.3224
2019-02-05 18:55:00,1083.6349
2019-02-05 18:56:00,1054.8525
2019-02-05 18:57:00,1056.701
2019-02-05 18:58:00,1112.5479
2019-02-05 18:59:00,1126.4406
2019-02-05 19:00:00,1121.6069
2019-02-05 19:01:00,1157.3677
2019-02-05 19:02:00,1165.9011
2019-02-05 19:03:00,1166.1323
2019-02-05 19:04:00,1223.4791
2019-02-05 19:05:00,1169.7013
2019-02-05 19:06:00,1121.1896
2019-02-05 19:07:00,1107.0352
2019-02-05 19:08:00,1130.3392
2019-02-05 19:09:00,1151.4915
2019-02-05 19:10:00,1124.9329
2019-02-05 19:11:00,1216.2067
2019-02-05 19:12:00,1224.5258
2019-02-05 19:13:00,1256.584
2019-02-05 19:14:00,1353.3779
2019-02-05 19:15:00,1410.435
2019-02-05 19:16:00,1380.6134
2019-02-05 19:17:00,1323.4939
2019-02-05 19:18:00,1312.9607
2019-02-05 19:19:00,1415.6368
2019-02-05 19:20:00,1354.443
2019-02-05 19:21:00,1433.4597
2019-02-05 19:22:00,1478.4474
2019-02-05 19:23:00,1410.817
2019-02-05 19:24:00,1402.6781
2019-02-05 19:25:00,1454.2375
2019-02-05 19:26:00,1478.0084
2019-02-05 19:27:00,1391.257
2019-02-05 19:28:00,1368.0966
2019-02-05 19:29:00,1417.7039
2019-02-05 19:30:00,1416.8936
2019-02-05 19:31:00,1374.3066
2019-02-05 19:32:00,1386.1753
2019-02-05 19:33:00,1356.6755
2019-02-05 19:34:00,1407.8348
2019-02-05 19:35:00,1454.6115
2019-02-05 19:36:00,1445.5574
2019-02-05 19:37:00,1352.6923
2019-02-05 19:38:00,1354.7207
2019-02-05 19:39:00,1403.5879
2019-02-05 19:40:00,1346.9509
2019-02-05 19:41:00,1327.2124
2019-02-05 19:42:00,1405.8206
2019-02-05 19:43:00,1451.822
2019-02-05 19:44:00,1450.5814
2019-02-05 19:45:00,1432.8494
2019-02-05 19:46:00,1429.6028
2019-02-05 19:47:00,1450.5648
2019-02-05 19:48:00,1433.8772
2019-02-05 19:49:00,1448.1583
2019-02-05 19:50:00,1387.1077
2019-02-05 19:51:00,1408.0507
2019-02-05 19:52:00,1344.3593
2019-02-05 19:53:00,1367.275
2019-02-05 19:54:00,1372.5044
2019-02-05 19:55:00,1426.3177
2019-02-05 19:56:00,1387.7164
2019-02-05 19:57:00,1440.0529
2019-02-05 19:58:00,1435.4003
2019-02-05 19:59:00,1494.3383
2019-02-05 20:00:00,1519.8738
2019-02-05 20:01:00,1446.1089
2019-02-05 20:02:00,1493.591
2019-02-05 20:03:00,1523.1803
2019-02-05 20:04:00,1529.8627
2019-02-05 20:05:00,1495.6006
2019-02-05 20:06:00,1524.0957
2019-02-05 20:07:00,1576.6451
2019-02-05 20:08:00,1647.7054
2019-02-05 20:09:00,1672.8226
2019-02-05 20:10:00,1680.6947
2019-02-05 20:11:00,1612.847
2019-02-05 20:12:00,1696.9197
2019-02-05 20:13:00,1689.894
2019-02-05 20:14:00,1646.7521
2019-02-05 20:15:00,1605.465
2019-02-05 20:16:00,1659.9484
2019-02-05 20:17:00,1638.4087
2019-02-05 20:18:00,1694.9012
2019-02-05 20:19:00,1646.9576
2019-02-05 20:20:00,1731.5962
2019-02-05 20:21:00,1754.6638
2019-02-05 20:22:00,1669.1215
2019-02-05 20:23:00,1818.3208
2019-02-05 20:24:00,1776.9624
2019-02-05 20:25:00,1758.1876
2019-02-05 20:26:00,1810.6381
2019-02-05 20:27:00,1817.9144
2019-02-05 20:28:00,1763.6354
2019-02-05 20:29:00,1783.8185
2019-02-05 20:30:00,1794.9266
2019-02-05 20:31:00,1819.0928
2019-02-05 20:32:00,1869.0623
2019-02-05 20:33:00,1871.2435
2019-02-05 20:34:00,1847.2428
2019-02-05 20:35:00,1749.818
2019-02-05 20:36:00,1766.2616
2019-02-05 20:37:00,1860.9252
2019-02-05 20:38:00,1779.4172
2019-02-05 20:39:00,1795.6112
2019-02-05 20:40:00,1794.8739
2019-02-05 20:41:00,1806.4503
2019-02-05 20:42:00,1858.95
2019-02-05 20:43:00,1814.0929
2019-02-05 20:44:00,1831.4323
2019-02-05 20:45:00,1836.2517
2019-02-05 20:46:00,1815.552
2019-02-05 20:47:00,1837.3698
2019-02-05 20:48:00,1879.8713
2019-02-05 20:49:00,1902.7333
2019-02-05 20:50:00,1922.4462
2019-02-05 20:51:00,1840.9996
2019-02-05 20:52:00,1890.8433
2019-02-05 20:53:00,1947.7319
2019-02-05 20:54:00,1884.711
2019-02-05 20:55:00,1941.6918
2019-02-05 20:56:00,1837.2155
2019-02-05 20:57:00,1992.5751
2019-02-05 20:58:00,1895.2548
2019-02-05 20:59:00,1856.2446
